Actual,Predicted
5799.17,5698.4185
3960.0,3751.5503
3436.72,3565.5083
8203.25,9007.951
7350.0,7239.7944
3040.0,3496.7576
4508.67,4710.769
9800.0,9462.967
9129.5,8555.786
3500.0,3687.3372
4430.0,5727.4272
3590.0,3716.6482
5570.21,5574.028
3000.0,3148.2627
7703.7,7700.9214
